,stock_id,time_id,target
613,0,5025,0.006344268
2426,0,20063,0.002186143
2577,0,21373,0.004102666
1419,0,11953,0.002881273
2029,0,16831,0.005241615
955,0,7843,0.003299782
2231,0,18427,0.00465028
180,0,1521,0.003712868
829,0,6799,0.008764041
2942,0,24725,0.00387048
730,0,5944,0.008414125
616,0,5056,0.0048151
1296,0,10946,0.002173777
2282,0,18844,0.00449121
111,0,1057,0.002510988
1179,0,9970,0.020925
133,0,1215,0.005217237
3432,0,29054,0.002456922
527,0,4361,0.001738621
921,0,7564,0.014698713
1641,0,13678,0.003772125
289,0,2331,0.00358799
3039,0,25504,0.003673526
2317,0,19148,0.007473195
3816,0,32704,0.003035952
2423,0,20033,0.002578632
44,0,381,0.001921296
1642,0,13699,0.003448671
2621,0,21843,0.00307693
797,0,6528,0.003081966
440,0,3622,0.001751979
41,0,371,0.014232399
872,0,7055,0.002199639
2476,0,20469,0.002260868
1266,0,10709,0.003463914
2699,0,22542,0.0052397
3105,0,26069,0.013538287
3300,0,27795,0.001636299
1074,0,9037,0.001546266
2811,0,23426,0.003494743
592,0,4858,0.002242505
1905,0,15798,0.003732623
3077,0,25772,0.001606129
335,0,2709,0.001347696
367,0,2979,0.002982542
3258,0,27317,0.004114231
2188,0,18072,0.002517394
3566,0,30357,0.002700062
1459,0,12254,0.001971996
2803,0,23353,0.006522392
2105,0,17428,0.002466081
2822,0,23524,0.002238751
3813,0,32690,0.002559675
1197,0,10088,0.01386789
2454,0,20326,0.002029297
1537,0,12905,0.003494577
231,0,1930,0.005653253
314,0,2510,0.007897198
2182,0,18012,0.001810117
340,0,2748,0.004121321
2607,0,21693,0.003371617
3254,0,27289,0.003533365
1038,0,8675,0.005954537
1587,0,13324,0.001518488
3559,0,30325,0.002556742
383,0,3092,0.003059712
547,0,4493,0.004786861
747,0,6102,0.001899299
1396,0,11804,0.003810617
2719,0,22732,0.003442113
2792,0,23265,0.003608975
1422,0,11981,0.001840751
2158,0,17872,0.002621162
586,0,4797,0.002852445
994,0,8271,0.001382553
2361,0,19491,0.002933733
756,0,6166,0.001896089
932,0,7668,0.003888625
1813,0,14995,0.002130867
434,0,3567,0.002086004
1683,0,14004,0.001705535
1255,0,10642,0.002124666
3092,0,25916,0.002536165
2300,0,18967,0.003804029
2817,0,23490,0.004180991
1426,0,11995,0.011598152
990,0,8219,0.007719767
2854,0,23796,0.002976297
1347,0,11375,0.00626194
3244,0,27188,0.004647314
1657,0,13821,0.004207782
3517,0,29930,0.001649028
3128,0,26254,0.003597643
151,0,1310,0.00195683
3130,0,26277,0.002089906
2956,0,24874,0.005119775
3804,0,32639,0.009021147
1217,0,10291,0.001957006
644,0,5302,0.001277526
346,0,2811,0.001766847
396,0,3187,0.004324985
1395,0,11792,0.002000552
582,0,4754,0.002316637
3026,0,25427,0.002176243
3651,0,31156,0.00169586
3533,0,30078,0.004128467
1135,0,9518,0.002077877
3748,0,32053,0.001118786
3523,0,29965,0.003390502
490,0,4069,0.003768977
3684,0,31359,0.002869636
3822,0,32746,0.007413447
3381,0,28527,0.002681658
2963,0,24921,0.006193806
1333,0,11248,0.001525572
3051,0,25617,0.008903663
598,0,4910,0.003926101
3455,0,29316,0.002846093
839,0,6850,0.002076259
891,0,7251,0.001263794
3142,0,26388,0.00242509
1349,0,11393,0.003668247
192,0,1600,0.007598232
2056,0,17070,0.0023026
2358,0,19483,0.006547864
3310,0,27854,0.00357426
3407,0,28838,0.005739757
3216,0,27003,0.003503971
521,0,4293,0.001872958
1012,0,8481,0.00483906
2779,0,23195,0.004351502
3225,0,27060,0.005835392
792,0,6489,0.001862471
1707,0,14234,0.00302551
2731,0,22827,0.004389986
1047,0,8747,0.001800815
600,0,4927,0.005156809
1552,0,12998,0.016726484
439,0,3607,0.003505073
1239,0,10523,0.00289414
2119,0,17565,0.002563628
87,0,817,0.002264038
2646,0,22026,0.003761569
2019,0,16753,0.002958331
3274,0,27511,0.005470386
2575,0,21367,0.002604009
3095,0,25971,0.002649323
394,0,3160,0.002340973
2248,0,18545,0.001679581
3531,0,30050,0.002402923
936,0,7679,0.001650272
671,0,5510,0.003371401
1028,0,8623,0.003499054
941,0,7743,0.010848222
10,0,128,0.003701991
438,0,3601,0.005954792
1237,0,10491,0.002622795
3111,0,26107,0.001055631
2629,0,21890,0.005682792
1922,0,15904,0.007078798
3204,0,26889,0.002850847
3180,0,26720,0.00311121
460,0,3797,0.005019261
1196,0,10081,0.003992407
157,0,1359,0.002933086
248,0,2046,0.001199173
